date,"Доход до","Доход после"
2019-11-01 03:00:00,246280,
2019-12-01 03:00:00,2756690,
2020-01-01 03:00:00,3562500,
2020-02-01 03:00:00,3209930,
2020-03-01 03:00:00,3786430,
2020-04-01 03:00:00,3186000,
2020-05-01 03:00:00,2448540,
2020-06-01 03:00:00,3906450,
2020-07-01 03:00:00,3968920,
2020-08-01 03:00:00,4896030,
2020-09-01 03:00:00,5807210,
2020-10-01 03:00:00,4843860,
2020-11-01 03:00:00,3844920,
2020-12-01 03:00:00,5397430,
2021-01-01 03:00:00,4978140,
2021-02-01 03:00:00,4601810,
2021-03-01 03:00:00,6894700,
2021-04-01 03:00:00,4709880,
2021-05-01 03:00:00,5219730,
2021-06-01 03:00:00,6575040,
2021-07-01 03:00:00,6072210,
2021-08-01 03:00:00,5614935,
2021-09-01 03:00:00,7109300,
2021-10-01 03:00:00,6660685,
2021-10-01 03:00:00,,6660685
2021-11-01 03:00:00,,8620665
2021-12-01 03:00:00,,7224690
2022-01-01 03:00:00,,6132920
2022-02-01 03:00:00,,6840040
2022-03-01 03:00:00,,11083165
2022-04-01 03:00:00,,10192110
2022-05-01 03:00:00,,8328595
2022-06-01 03:00:00,,9917595
2022-07-01 03:00:00,,9951925
2022-08-01 03:00:00,,7634135
2022-09-01 03:00:00,,8534035
2022-10-01 03:00:00,,7968865
2022-11-01 03:00:00,,9854670
2022-12-01 03:00:00,,7720085
2023-01-01 03:00:00,,9380560
2023-02-01 03:00:00,,10222045
2023-03-01 03:00:00,,11721258
2023-04-01 03:00:00,,9170182
2023-05-01 03:00:00,,10750579
2023-06-01 03:00:00,,11614335
2023-07-01 03:00:00,,11393513
2023-08-01 03:00:00,,13661570
2023-09-01 03:00:00,,13603242
2023-10-01 03:00:00,,15120136
2023-11-01 03:00:00,,5895264
